0.849,0.384,9,-14.519,0,0.075,0.391,0,0.17,0.75,93.801,4,0
0.733,0.431,8,-10.187,1,0.053,0.911,0.0151,0.292,0.893,153.962,4,0
0.479,0.416,4,-11.451,0,0.124,0.457,1.72e-05,0.118,0.514,79.593,4,0
0.615,0.234,0,-11.8,1,0.0536,0.812,5.84e-06,0.161,0.412,75.188,4,0
0.747,0.638,11,-12.028,0,0.0537,0.0474,0.00138,0.0751,0.961,154.708,4,0
0.731,0.311,4,-14.939,0,0.0892,0.598,1.68e-06,0.111,0.574,82.366,4,0
0.912,0.317,6,-12.719,0,0.0378,0.106,0.000208,0.0723,0.945,99.346,4,0
0.746,0.273,5,-16.63,1,0.0573,0.606,0.0168,0.0526,0.502,101.952,4,0
0.457,0.298,4,-12.059,1,0.0481,0.517,2.39e-05,0.0677,0.363,146.883,3,0
0.822,0.412,8,-13.053,0,0.261,0.179,0.000192,0.0905,0.736,99.174,4,0
0.788,0.411,9,-11.17,1,0.0432,0.229,9.04e-05,0.138,0.934,119.102,4,0
0.691,0.363,4,-7.564,1,0.172,0.852,0,0.117,0.962,98.995,4,0
0.752,0.206,5,-11.704,1,0.103,0.901,0,0.128,0.692,118.373,4,0
0.693,0.311,10,-10.222,1,0.0651,0.814,1.86e-05,0.1,0.583,137.318,4,0
0.65,0.218,0,-11.341,1,0.0656,0.924,0.00375,0.359,0.851,149.503,4,0
0.825,0.222,0,-13.019,1,0.0855,0.953,0,0.124,0.704,114.857,4,0
0.764,0.315,0,-10.118,1,0.0516,0.817,0,0.224,0.819,108.405,4,0
0.613,0.427,10,-9.633,1,0.0746,0.823,0,0.0886,0.903,128.539,4,0
0.677,0.306,5,-9.31,0,0.104,0.89,0,0.071,0.636,112.736,4,0
0.557,0.342,10,-10.358,0,0.056,0.812,0,0.0675,0.527,118.019,4,0
0.496,0.377,1,-7.434,1,0.117,0.813,0,0.0867,0.797,148.716,4,0
0.362,0.289,7,-10.338,1,0.038,0.555,0,0.15,0.626,171.757,4,0
0.56,0.21,0,-10.042,1,0.0441,0.6,0,0.0729,0.493,80.625,4,0
0.292,0.302,3,-9.618,1,0.0315,0.798,0,0.315,0.269,122.92,4,0
0.61,0.239,0,-8.945,1,0.0347,0.758,0,0.141,0.762,141.79,1,0
0.653,0.136,2,-13.101,0,0.0461,0.804,0,0.0843,0.249,78.609,4,0
0.65,0.32,0,-12.994,1,0.102,0.723,0,0.0949,0.638,122.052,4,0
0.406,0.0898,0,-15.787,1,0.0381,0.966,3.84e-05,0.106,0.107,92.792,3,0
0.41,0.141,1,-15.806,1,0.0528,0.941,0,0.131,0.219,81.531,4,0
0.406,0.383,2,-11.261,0,0.068,0.385,3.65e-06,0.106,0.407,94.128,4,0
0.407,0.401,7,-8.719,1,0.049,0.854,0,0.0602,0.688,158.714,4,0
0.598,0.185,7,-10.804,1,0.0503,0.836,0,0.113,0.313,76.587,4,0
0.426,0.127,0,-12.041,0,0.0398,0.916,0,0.24,0.223,71.558,4,0
0.291,0.234,7,-14.043,0,0.0492,0.921,1.72e-06,0.132,0.359,80.286,4,0
0.378,0.0782,0,-13.896,1,0.0377,0.981,0,0.134,0.205,77.267,3,0
0.543,0.314,7,-10.815,0,0.0414,0.796,0,0.306,0.585,62.978,4,0
0.668,0.372,0,-8.122,1,0.049,0.718,0,0.0799,0.706,106.54,4,0
0.431,0.331,5,-12.449,0,0.0449,0.404,0,0.234,0.747,148.341,4,0
0.723,0.285,8,-12.206,1,0.113,0.813,0,0.479,0.675,103.193,4,0
0.455,0.167,0,-13.613,1,0.0739,0.918,0,0.173,0.404,76.118,4,0
0.569,0.146,7,-12.026,1,0.0731,0.837,0,0.283,0.342,99.357,4,0
0.489,0.137,10,-14.189,1,0.0766,0.845,0,0.0759,0.185,76.063,4,0
0.655,0.201,9,-10.129,0,0.0549,0.821,0,0.241,0.742,136.309,4,0
0.786,0.0781,10,-13.752,1,0.0583,0.934,0,0.14,0.619,113.085,4,0
